atlanta	2015-09-19	74
atlanta	2015-09-22	55
atlanta	2015-09-23	3
atlanta	2015-09-25	12
atlanta	2015-09-29	11
atlanta	2015-09-30	5
atlanta	2015-10-01	6
atlanta	2015-10-02	9
atlanta	2015-10-14	43
atlanta	2015-10-20	30
atlanta	2015-10-27	22
atlanta	2015-11-02	29
atlanta	2015-11-08	17
atlanta	2015-11-10	4
atlanta	2015-11-17	34
atlanta	2015-11-24	16
atlanta	2015-11-25	4
atlanta	2015-11-28	2
atlanta	2015-12-05	18
atlanta	2015-12-15	25
atlanta	2015-12-28	28
atlanta	2016-01-05	14
atlanta	2016-01-13	32
atlanta	2016-01-18	7
atlanta	2016-01-28	39
atlanta	2016-02-10	44
atlanta	2016-02-16	21
atlanta	2016-02-23	25
atlanta	2016-03-03	26
atlanta	2016-03-12	38
atlanta	2016-03-20	18
atlanta	2016-03-23	12
atlanta	2016-03-25	2
atlanta	2016-03-29	13
atlanta	2016-04-11	44
atlanta	2016-04-19	31
atlanta	2016-04-26	21
atlanta	2016-05-03	23
atlanta	2016-05-10	21
atlanta	2016-05-24	46
atlanta	2016-06-01	20
boston	2015-09-23	625
boston	2015-09-25	340
boston	2015-09-29	139
boston	2015-09-30	33
boston	2015-10-01	36
boston	2015-10-02	98
boston	2015-10-14	145
boston	2015-10-20	111
boston	2015-10-27	144
boston	2015-11-02	91
boston	2015-11-05	62
boston	2015-11-08	81
boston	2015-11-10	23
boston	2015-11-17	124
boston	2015-11-24	143
boston	2015-11-25	15
boston	2015-11-28	21
boston	2015-12-05	118
boston	2015-12-06	3
boston	2015-12-15	168
boston	2015-12-28	127
boston	2016-01-05	110
boston	2016-01-08	136
boston	2016-01-13	63
boston	2016-01-18	56
boston	2016-01-28	181
boston	2016-02-10	175
boston	2016-02-16	56
boston	2016-02-23	80
boston	2016-03-03	154
boston	2016-03-12	141
boston	2016-03-20	86
boston	2016-03-23	45
boston	2016-03-25	39
boston	2016-03-29	48
boston	2016-04-11	150
boston	2016-04-19	112
boston	2016-04-26	61
boston	2016-05-03	71
boston	2016-05-10	71
boston	2016-05-24	149
boston	2016-06-01	74
boulder	2015-09-19	216
boulder	2015-09-22	22
boulder	2015-09-23	5
boulder	2015-09-25	17
boulder	2015-09-29	10
boulder	2015-09-30	12
boulder	2015-10-01	7
boulder	2015-10-02	10
boulder	2015-10-14	65
boulder	2015-10-20	30
boulder	2015-10-27	50
boulder	2015-11-02	37
boulder	2015-11-08	26
boulder	2015-11-10	5
boulder	2015-11-17	27
boulder	2015-11-24	20
boulder	2015-11-25	5
boulder	2015-11-28	11
boulder	2015-12-05	19
boulder	2015-12-15	18
boulder	2015-12-28	11
boulder	2016-01-05	8
boulder	2016-01-13	28
boulder	2016-01-18	6
boulder	2016-01-28	24
boulder	2016-02-10	28
boulder	2016-02-16	12
boulder	2016-02-23	11
boulder	2016-03-03	11
boulder	2016-03-12	29
boulder	2016-03-20	14
boulder	2016-03-23	7
boulder	2016-03-25	2
boulder	2016-03-29	5
boulder	2016-04-11	22
boulder	2016-04-19	9
boulder	2016-04-26	6
boulder	2016-05-03	12
boulder	2016-05-10	9
boulder	2016-05-24	17
boulder	2016-06-01	13
denver	2015-09-19	172
denver	2015-09-22	24
denver	2015-09-23	11
denver	2015-09-25	13
denver	2015-09-29	5
denver	2015-09-30	14
denver	2015-10-01	9
denver	2015-10-02	10
denver	2015-10-14	62
denver	2015-10-20	44
denver	2015-10-27	52
denver	2015-11-02	41
denver	2015-11-05	29
denver	2015-11-08	6
denver	2015-11-10	10
denver	2015-11-17	56
denver	2015-11-24	37
denver	2015-11-25	8
denver	2015-11-28	6
denver	2015-12-05	50
denver	2015-12-06	4
denver	2015-12-15	58
denver	2015-12-28	53
denver	2016-01-05	30
denver	2016-01-13	74
denver	2016-01-18	29
denver	2016-01-28	91
denver	2016-02-10	101
denver	2016-02-16	35
denver	2016-02-23	51
denver	2016-03-03	54
denver	2016-03-12	58
denver	2016-03-20	38
denver	2016-03-23	17
denver	2016-03-25	13
denver	2016-03-29	15
denver	2016-04-11	60
denver	2016-04-19	42
denver	2016-04-26	29
denver	2016-05-03	31
denver	2016-05-10	31
denver	2016-05-24	94
denver	2016-06-01	33
