CarrierCode,Airline,Url,Info
BYF,San Carlos Flight Center,https://sancarlosflight.com/,SF Bay Area community for training and rentals
CAP,Civil Air Patrol,,CAP424
CHP,California Highway Patrol,,Examples CHP21
